Object_ID,Validity_From,Validity_To,State,Object_Type
OBJ10000,20250311,20260630,Planning,Type_C
OBJ10000,20260701,20281231,Active,Type_C
OBJ10001,20240927,20250630,Planning,Type_A
OBJ10001,20250701,20260630,Active,Type_A
OBJ10002,20240312,20281231,Planning,Type_C
OBJ10003,20240121,20251231,Planning,Type_A
OBJ10003,20260101,20260630,Active,Type_A
OBJ10004,20240501,20260226,Planning,Type_C
OBJ10004,20260227,20270417,Active,Type_C
OBJ10005,20250403,20260115,Planning,Type_C
OBJ10005,20260116,20270811,Active,Type_C
OBJ10006,20241225,20270507,Planning,Type_D
OBJ10006,20270508,20280402,Active,Type_D
OBJ10007,20241104,20260501,Planning,Type_B
OBJ10007,20260502,20280323,Active,Type_B
OBJ10008,20241020,20260528,Planning,Type_B
OBJ10008,20260529,20270624,Active,Type_B
OBJ10009,20241003,20250928,Planning,Type_D
OBJ10009,20250929,20270720,Active,Type_D
OBJ10010,20240122,20250418,Planning,Type_B
OBJ10010,20250419,20271122,Active,Type_B
OBJ10011,20240218,20251223,Planning,Type_A
OBJ10011,20251224,20260908,Active,Type_A
OBJ10012,20240618,20260424,Planning,Type_C
OBJ10012,20260425,20281010,Active,Type_C
OBJ10013,20240927,20251021,Planning,Type_D
OBJ10013,20251022,20281222,Active,Type_D
OBJ10014,20250321,20270422,Planning,Type_C
OBJ10014,20270423,20300402,Active,Type_C
OBJ10015,20240831,20260805,Planning,Type_C
OBJ10015,20260806,20270702,Active,Type_C
OBJ10016,20241102,20270226,Planning,Type_A
OBJ10016,20270227,20271005,Active,Type_A
OBJ10017,20240615,20251001,Planning,Type_A
OBJ10017,20251002,20270512,Active,Type_A
OBJ10018,20241111,20250612,Planning,Type_A
OBJ10018,20250613,20260828,Active,Type_A
OBJ10019,20240921,20260320,Planning,Type_B
OBJ10019,20260321,20280423,Active,Type_B
OBJ10020,20241205,20250922,Planning,Type_B
OBJ10020,20250923,20270412,Active,Type_B
OBJ10021,20250330,20261217,Planning,Type_D
OBJ10021,20261218,20281125,Active,Type_D
OBJ10022,20250306,20251026,Planning,Type_D
OBJ10022,20251027,20261206,Active,Type_D
OBJ10023,20250223,20270326,Planning,Type_A
OBJ10023,20270327,20300302,Active,Type_A
OBJ10024,20240102,20250813,Planning,Type_D
OBJ10024,20250814,20270918,Active,Type_D
OBJ10025,20240916,20260724,Planning,Type_B
OBJ10025,20260725,20290112,Active,Type_B
OBJ10026,20240805,20260830,Planning,Type_B
OBJ10026,20260831,20270827,Active,Type_B
OBJ10027,20250321,20260703,Planning,Type_B
OBJ10027,20260704,20290531,Active,Type_B
OBJ10028,20240927,20260714,Planning,Type_D
OBJ10028,20260715,20280506,Active,Type_D
OBJ10029,20240908,20260116,Planning,Type_C
OBJ10029,20260117,20280729,Active,Type_C
OBJ10030,20240824,20260212,Planning,Type_D
OBJ10030,20260213,20290126,Active,Type_D
OBJ10031,20241006,20251126,Planning,Type_A
OBJ10031,20251127,20280717,Active,Type_A
OBJ10032,20250114,20261207,Planning,Type_D
OBJ10032,20261208,20270805,Active,Type_D
OBJ10033,20240115,20241005,Planning,Type_A
OBJ10033,20241006,20270828,Active,Type_A
OBJ10034,20240109,20250705,Planning,Type_C
OBJ10034,20250706,20260530,Active,Type_C
OBJ10035,20240515,20260317,Planning,Type_D
OBJ10035,20260318,20261205,Active,Type_D
OBJ10036,20250513,20270714,Planning,Type_C
OBJ10036,20270715,20290225,Active,Type_C
OBJ10037,20250222,20260625,Planning,Type_C
OBJ10037,20260626,20280125,Active,Type_C
OBJ10038,20250504,20260708,Planning,Type_A
OBJ10038,20260709,20270306,Active,Type_A
OBJ10039,20240514,20250618,Planning,Type_D
OBJ10039,20250619,20280423,Active,Type_D
OBJ10040,20250221,20251011,Planning,Type_D
OBJ10040,20251012,20260616,Active,Type_D
OBJ10041,20250210,20270325,Planning,Type_C
OBJ10041,20270326,20291008,Active,Type_C
OBJ10042,20240408,20260908,Planning,Type_A
OBJ10042,20260909,20290815,Active,Type_A
OBJ10043,20250419,20270505,Planning,Type_B
OBJ10043,20270506,20300709,Active,Type_B
OBJ10044,20240410,20260131,Planning,Type_C
OBJ10044,20260201,20280523,Active,Type_C
OBJ10045,20240105,20250225,Planning,Type_A
OBJ10045,20250226,20270129,Active,Type_A
OBJ10046,20250201,20260916,Planning,Type_C
OBJ10046,20260917,20271028,Active,Type_C
OBJ10047,20241211,20270103,Planning,Type_C
OBJ10047,20270104,20291230,Active,Type_C
OBJ10048,20240627,20260810,Planning,Type_A
OBJ10048,20260811,20290709,Active,Type_A
OBJ10049,20240828,20260930,Planning,Type_C
OBJ10049,20261001,20270723,Active,Type_C
OBJ10050,20240809,20260624,Planning,Type_D
OBJ10050,20260625,20280221,Active,Type_D
OBJ10051,20240824,20261226,Planning,Type_C
OBJ10051,20261227,20280101,Active,Type_C
OBJ10052,20240205,20260129,Planning,Type_A
OBJ10052,20260130,20270124,Active,Type_A
OBJ10053,20240705,20250920,Planning,Type_C
OBJ10053,20250921,20260703,Active,Type_C
OBJ10054,20240306,20260804,Planning,Type_D
OBJ10054,20260805,20280830,Active,Type_D
OBJ10055,20250316,20270709,Planning,Type_B
OBJ10055,20270710,20300331,Active,Type_B
OBJ10056,20240417,20260512,Planning,Type_D
