Object_ID,Validity_From_s1,Validity_To_s1,State,Object_Type,Mapped_Class,Object_Class,Validity_From_s2,Validity_To_s2
OBJ10006,2027-05-08,2028-04-02,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10009,2025-09-29,2027-07-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10013,2025-10-22,2028-12-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10021,2026-12-18,2028-11-25,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10024,2025-08-14,2027-09-18,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10028,2026-07-15,2028-05-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10030,2026-02-13,2029-01-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10032,2026-12-08,2027-08-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10039,2025-06-19,2028-04-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10050,2026-06-25,2028-02-21,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10054,2026-08-05,2028-08-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10056,2026-05-13,2027-11-03,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10066,2027-01-29,2027-12-07,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10068,2026-05-30,2028-01-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10074,2026-12-25,2029-06-21,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10075,2026-06-04,2027-07-11,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10076,2025-12-24,2028-08-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10084,2026-05-28,2027-11-16,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10085,2026-03-12,2029-04-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10088,2027-06-25,2030-06-09,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10096,2026-03-04,2027-05-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10097,2026-02-10,2027-01-28,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10101,2027-01-12,2030-01-11,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10102,2025-06-13,2027-02-03,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10103,2026-07-09,2028-04-28,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10110,2027-03-21,2029-03-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10117,2025-10-05,2028-12-28,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10118,2026-04-11,2027-07-10,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10128,2025-09-18,2028-02-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10129,2026-10-29,2028-06-19,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10131,2025-08-27,2028-01-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10145,2025-01-21,2027-05-04,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10151,2026-10-06,2028-07-01,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10155,2026-06-10,2028-03-02,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10159,2026-12-17,2028-09-18,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10160,2026-02-20,2028-02-05,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10161,2026-03-26,2028-11-08,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10163,2026-11-07,2029-03-30,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10164,2026-07-12,2028-03-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10166,2025-07-26,2027-08-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10183,2026-05-27,2029-06-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10184,2026-07-08,2029-03-29,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10188,2026-11-13,2028-09-26,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10194,2024-10-09,2027-12-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10195,2026-05-03,2027-07-06,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10207,2025-01-18,2027-05-27,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10208,2026-10-13,2029-11-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10216,2026-11-08,2027-07-12,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10221,2026-04-09,2029-06-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10224,2025-12-02,2026-12-14,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10225,2025-04-05,2027-10-31,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10226,2027-01-17,2030-03-20,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10228,2027-03-16,2029-03-31,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10231,2025-12-28,2027-03-23,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10260,2026-03-25,2028-11-22,Active,Type_D,,,2026-12-12,2027-12-11
OBJ10265,2027-07-07,2028-10-29,Active,Type_D,,,2026-12-12,2027-12-11
